tahun_pelaporan,semester,tahun,nama_program_studi,jenjang,status_prodi,akreditasi_prodi,nama_universitas,jumlah_mahasiswa,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,rasio_dosen_mahasiswa,nilai_rasio,kota,provinsi,kode_pt,fakultas,rumpun_ilmu
Ganjil 2025,Ganjil,2025,Pendidikan,S3,Aktif,Baik,Universitas Siliwangi,13,14,3,1,4,1:0.93,0.93,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Bahasa Indonesia,S1,Aktif,Unggul,Universitas Siliwangi,789,21,15,2,17,1:37.57,37.57,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Bahasa Inggris,S1,Aktif,Unggul,Universitas Siliwangi,866,28,26,0,26,1:30.93,30.93,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Biologi,S1,Aktif,Unggul,Universitas Siliwangi,679,24,8,0,8,1:28.29,28.29,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2025,Ganjil,2025,Pendidikan Ekonomi,S1,Aktif,Unggul,Universitas Siliwangi,633,15,16,0,16,1:42.2,42.2,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Fisika,S1,Aktif,Unggul,Universitas Siliwangi,446,15,12,0,12,1:29.73,29.73,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2025,Ganjil,2025,Pendidikan Geografi,S1,Aktif,Unggul,Universitas Siliwangi,619,15,10,0,10,1:41.27,41.27,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Geografi,S2,Aktif,Baik Sekali,Universitas Siliwangi,36,7,5,0,5,1:5.14,5.14,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Ilmu Pengetahuan Alam,S2,Aktif,Baik,Universitas Siliwangi,49,14,5,0,5,1:3.5,3.5,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2025,Ganjil,2025,Pendidikan Jasmani,S2,Aktif,Baik,Universitas Siliwangi,40,7,5,0,5,1:5.71,5.71,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Jasmani,S1,Aktif,Unggul,Universitas Siliwangi,1492,37,28,0,28,1:40.32,40.32,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Kependudukan & Lingkungan Hidup,S2,Alih Bentuk,-,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Masyarakat,S1,Aktif,Unggul,Universitas Siliwangi,611,12,11,1,12,1:50.92,50.92,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Matematika,S1,Aktif,Unggul,Universitas Siliwangi,708,30,19,0,19,1:23.6,23.6,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2025,Ganjil,2025,Pendidikan Matematika,S2,Aktif,Baik Sekali,Universitas Siliwangi,44,9,5,0,5,1:4.89,4.89,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2025,Ganjil,2025,Pendidikan Profesi Guru,Profesi,Aktif,Baik Sekali,Universitas Siliwangi,3489,0,13,0,13,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Pendidikan Sejarah,S1,Aktif,Unggul,Universitas Siliwangi,702,13,11,0,11,1:54,54.0,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2025,Ganjil,2025,Perbankan dan Keuangan,D3,Aktif,B,Universitas Siliwangi,630,23,12,2,14,1:27.39,27.39,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
